id,salary_pay,salary_rate,salary_avg,salary_min,salary_max,salary_hourly,salary_yearly,salary_standardized,title,company_name,location,via,extensions,posted_at,schedule_type,work_from_home,date_time,description_tokens
0,,,,,,,,,Data Analyst Technical - Consultant,Intermountain Healthcare,"Oklahoma City, OK",via Monster,"['19 hours ago', 'Full-time', 'Health insurance']",19 hours ago,Full-time,,00:10.1,"['vba', 'spreadsheet', 'javascript', 'word', 'sql', 'excel', 'r', 'python']"
1,,,,,,,,,"Sr Analyst, Data Engineer",Estee Lauder Companies,Oklahoma,via ZipRecruiter,"['12 hours ago', 'Full-time']",12 hours ago,Full-time,,00:10.1,[]
2,21 to 23,an hour,22.0,21.0,23.0,22.0,,45760.0,Legal Data Analyst,DISYS,United States,via Indeed,"['4 hours ago', '21 to 23 an hour', 'Contractor']",4 hours ago,Contractor,,00:10.1,[]
3,,,,,,,,,Data analyst,Modis,United States,via BeBee,"['13 hours ago', 'No degree mentioned']",13 hours ago,,,00:10.1,[]
4,,,,,,,,,Data Analyst (Risk Adjustment Consulting Research Analyst),Cambia Health Solutions,United States,via LinkedIn,"['23 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",23 hours ago,Full-time,,00:10.1,"['sas', 'matlab', 'sql', 'spss', 'r']"
5,,,,,,,,,"Big Data Lead (Spark, Scala, Kafka, Airflow, NiFi, Snowflake, AWS)",SYSMIND,United States,via LinkedIn,"['4 hours ago', 'Full-time', 'No degree mentioned']",4 hours ago,Full-time,,00:10.1,"['spark', 'snowflake', 'scala', 'airflow', 'aws']"
6,,,,,,,,,Tax Data Analyst,BJs Wholesale Club,United States,via Adzuna,"['22 hours ago', 'Full-time', 'No degree mentioned']",22 hours ago,Full-time,,00:10.1,"['alteryx', 'excel', 'sap']"
7,,,,,,,,,Data Analyst,CodeForSouth.org,United States,via Jooble,"['22 hours ago', 'Contractor', 'No degree mentioned']",22 hours ago,Contractor,,00:10.1,"['javascript', 'excel', 'python']"
8,,,,,,,,,Data Analyst,TEK NINJAS,United States,via LinkedIn,"['24 hours ago', 'Full-time', 'No degree mentioned']",24 hours ago,Full-time,,00:10.1,[]
9,,,,,,,,,"Data Scientist, Data Science Strategic Insights",GoHealth,United States,via LinkedIn,"['13 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",13 hours ago,Full-time,,00:10.1,"['go', 'numpy', 'matlab', 'sql', 'scikit-learn', 'pandas', 'r', 'python']"
10,,,,,,,,,Data Analyst - 100% Remote,"PMO Partners, LLC","Dearing, KS",via SonicJobs,"['4 hours ago', 'Full-time']",4 hours ago,Full-time,,00:12.6,"['sas', 'sql', 'excel']"
11,100K to 140K,a year,120000.0,100000.0,140000.0,,120000.0,120000.0,Lead Data Analyst,Laka & Company,"Bentonville, AR",via LinkedIn,"['10 hours ago', '100K to 140K a year', 'Full-time']",10 hours ago,Full-time,,00:12.6,"['c', 'ssrs', 'sql', 'ssis', 'python', 'azure']"
12,,,,,,,,,Quality Advisor & Data Analyst,Peterson Health,United States,via Indeed,"['4 hours ago', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']",4 hours ago,Full-time,,00:12.6,"['excel', 'word']"
13,,,,,,,,,Sr. Business Data Analyst,Teleperformance USA,"Topeka, KS",via Adzuna,"['23 hours ago', 'Full-time']",23 hours ago,Full-time,,00:12.6,"['power_bi', 'excel', 'go', 'word', 'powerpoint']"
14,,,,,,,,,Senior Data Analyst,HonorVet Technologies,"Dearing, KS",via SonicJobs,"['4 hours ago', 'Full-time', 'No degree mentioned']",4 hours ago,Full-time,,00:12.6,"['postgresql', 'sql', 'hadoop', 'python']"
15,,,,,,,,,"Data Analyst - CropSights, a Precision Ag Platform (Remote - Must...",Wilbur-Ellis Company,United States,via Laimoon.com,"['4 hours ago', 'Contractor', 'Health insurance', 'Dental insurance', 'Paid time off']",4 hours ago,Contractor,,00:12.6,"['sql', 'excel', 'r', 'python']"
